Name,Place,Floor,Image URL,Website
 Tommy Hilfiger ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Tommy-Hilfigerlogo-65.jpg,https://www.malkelapagading.com/directory/tommy-hilfiger
2nd Floor Barbershop ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/nd-Floor-Barbershoplogo.jpg,https://www.malkelapagading.com/directory/2nd-floor-barbershop
3MONGKIS ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/MONGKISlogo.jpg,https://www.malkelapagading.com/directory/3mongkis
7hundredmL ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/hundredmLlogo-93.jpg,https://www.malkelapagading.com/directory/7hundredml-mall-kelapa-gading
A & W ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/A-W-Restaurantlogo1.jpg,https://www.malkelapagading.com/directory/a-and-w-restaurant
A Fung Baso Sapi ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/A-Fung-Baso-Sapilogo.jpg,https://www.malkelapagading.com/directory/a-fung-baso-sapi
"A. VE, RE. RW ",MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Punk-Q-Salonlogo1.jpg,https://www.malkelapagading.com/directory/a-ve-re-rw
Adelle Jewellery ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Adelle-Jewellerylogo.jpg,https://www.malkelapagading.com/directory/adelle-jewellery
Adidas ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Adidaslogo3.jpg,https://www.malkelapagading.com/directory/adidas
ALDO ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/ALDOlogo.jpg,https://www.malkelapagading.com/directory/aldo
Amarissa ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Amarissalogo-40.jpg,https://www.malkelapagading.com/directory/amarisa
Aneka Citra Snack ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Aneka-Citra-Snacklogo.jpg,https://www.malkelapagading.com/directory/aneka-citra-snack
AntarArtha Benua ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Antarartha-Benualogo.jpg,https://www.malkelapagading.com/directory/antarartha-benua
Arena ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Arenalogo1.jpg,https://www.malkelapagading.com/directory/arena-gadget
Arena ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Arenalogo.jpg,https://www.malkelapagading.com/directory/arena
ARTLAND ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/ARTLANDlogo-31.jpg,https://www.malkelapagading.com/directory/artland
ASICS  ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/ASICS-logo-0.jpg,https://www.malkelapagading.com/directory/asics
ATM BCA ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/ATM-BCAlogo.jpg,https://www.malkelapagading.com/directory/atm-bca
ATM Center 01 ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/ATM-Center-logo1.jpg,https://www.malkelapagading.com/directory/atm-center-01
ATM Center 02 ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/ATM-Center-logo.jpg,https://www.malkelapagading.com/directory/atm-center
Auntie Anne`s ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Auntie-Anneslogo.jpg,https://www.malkelapagading.com/directory/auntie-annes
Auto Glaze ,MKG-5,Lantai 1,http://images.malkelapagading.com/tenant/Auto-Glazelogo2.jpg,https://www.malkelapagading.com/directory/auto-glaze
Avia Tour ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Avia-Tourlogo.jpg,https://www.malkelapagading.com/directory/avia-tour
Avila Catholic Book ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Avila-Catholic-Booklogo.jpg,https://www.malkelapagading.com/directory/avila-catholic-book
Avocado Lovers ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Avocado-Loverslogo1.jpg,https://www.malkelapagading.com/directory/avocado-lovers
B Mobile ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/B-Mobilelogo1.jpg,https://www.malkelapagading.com/directory/b-mobile
Baby Bar ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/Baby-Barlogo.jpg,https://www.malkelapagading.com/directory/baby-bar
Baby Empire ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/Baby-Empirelogo-53.jpg,https://www.malkelapagading.com/directory/baby-empire
Babyshop ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/Babyshoplogo-26.jpg,https://www.malkelapagading.com/directory/babyshop
Baji Pamai ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Baji-Pamailogo-36.jpg,https://www.malkelapagading.com/directory/bakmi-baji-pamai
Bakmi Gajah Mada ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Bakmi-Gajah-Madalogo.jpg,https://www.malkelapagading.com/directory/bakmi-gajah-mada
Bakmi Gocit ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Bakmi-Gocitlogo.jpg,https://www.malkelapagading.com/directory/bakmi-gocit
Bakso Malang Cak Uban ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Bakso-Malang-Cak-Ubanlogo.jpg,https://www.malkelapagading.com/directory/bakso-malang-cak-uban
Baleno ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Balenologo.jpg,https://www.malkelapagading.com/directory/baleno
Bamboo Dimsum ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Bamboo-Dimsumlogo.jpg,https://www.malkelapagading.com/directory/bamboo-dimsum
Bank BRI ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Bank-BRIlogo.jpg,https://www.malkelapagading.com/directory/bank-bri
BAR B Q Plaza ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/BAR-B-Q-Plazalogo1.jpg,https://www.malkelapagading.com/directory/bar-b-q-plaza
Baskin Robbins ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Baskin-Robbinslogo.jpg,https://www.malkelapagading.com/directory/baskin-robbins
Bath & Body Works ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Bath-Body-Workslogo-3.jpg,https://www.malkelapagading.com/directory/bath-and-body-works
Bathaholic ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/Bathaholiclogo1.jpg,https://www.malkelapagading.com/directory/bathaholic
Batik Keris ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Batik-Kerislogo.jpg,https://www.malkelapagading.com/directory/batik-keris
BCA ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/BCAlogo.jpg,https://www.malkelapagading.com/directory/bca
Beef Boss ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Beef-Bosslogo-31.jpg,https://www.malkelapagading.com/directory/beef-boss
Ben Gongs Tea ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Ben-Gongs-Tealogo-11.jpg,https://www.malkelapagading.com/directory/ben-gongs-tea
Benteng Jewellery ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Benteng-Jewellerylogo.jpg,https://www.malkelapagading.com/directory/benteng-jewellry
Bijin Nabe ,MKG-5,Lantai 3,http://images.malkelapagading.com/tenant/Bijin-Nabelogo-97.png,https://www.malkelapagading.com/directory/bijin-nabe
Birkenstock ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Birkenstocklogo-8.jpg,https://www.malkelapagading.com/directory/birkenstock
Bobo Tokyo ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Bobo-Tokyologo-52.jpg,https://www.malkelapagading.com/directory/bobo-tokyo
BOLDe Store ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/BOLDe-Storelogo-11.png,https://www.malkelapagading.com/directory/bolde-store
Boogie Doggie ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Boogie-Doggielogo.jpg,https://www.malkelapagading.com/directory/boogie-doggie
Boogie Doggie Pet Cafe ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Boogie-Doggie-Pet-Cafelogo.jpg,https://www.malkelapagading.com/directory/boogie-doggie-pet-cafe
BOOST Juice Bar ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/BOOST-Juice-Barlogo-35.jpg,https://www.malkelapagading.com/directory/boost-juice-bar
Boots ,MKG-5,Lantai Dasar,http://images.malkelapagading.com/tenant/Bootslogo-26.jpg,https://www.malkelapagading.com/directory/boots
Braun Buffel ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Braun-Buffellogo-5.jpg,https://www.malkelapagading.com/directory/braun-buffel
Bridges Eyewear ,MKG-1,Lantai 1,http://images.malkelapagading.com/tenant/Bridges-Eyewearlogo1.jpg,https://www.malkelapagading.com/directory/bridges-eyewear
